customer_id,first_name,last_name,email,city,province,signup_date,loyalty_level
C00001,Elizabeth,Harrison,julie37@example.com,Hamilton,Ontario,2024-08-26,Bronze
C00002,Martha,Schmidt,oglenn@example.org,Vancouver,British Columbia,2022-02-27,Bronze
C00003,Craig,Vazquez,nevans@example.net,Brampton,Ontario,2024-10-14,Silver
C00004,Sandra,Gonzales,smithsusan@example.com,Hamilton,Ontario,2025-10-24,Gold
C00005,Edward,Waters,fjenkins@example.com,Calgary,Alberta,2026-04-10,Bronze
C00006,Amanda,Pierce,trevor82@example.org,Calgary,Alberta,2022-01-24,Bronze
C00007,Robin,Watson,dannyjohnson@example.net,Mississauga,Ontario,2026-04-24,Bronze
C00008,Denise,Gregory,brooksmichael@example.com,Calgary,Alberta,2025-05-11,Gold
C00009,Kathy,Gonzalez,yhumphrey@example.org,Ottawa,Ontario,2022-10-18,Bronze
C00010,Theresa,Davis,taylor81@example.net,Brampton,Ontario,2026-02-10,Gold
C00011,Patrick,Murray,mschmitt@example.net,Toronto,Ontario,2022-09-02,Silver
C00012,Victor,Bray,renee63@example.com,Mississauga,Ontario,2024-12-22,Silver
C00013,Misty,Suarez,michelle87@example.org,Hamilton,Ontario,2022-03-10,Bronze
C00014,Laurie,Stone,dickersonbrian@example.net,Ottawa,Ontario,2023-01-23,Bronze
C00015,Ruth,Green,irose@example.net,Calgary,Alberta,2022-09-12,Bronze
C00016,Robert,Lopez,sara05@example.com,Calgary,Alberta,2025-06-12,Silver
C00017,Jeremy,Williams,kent34@example.com,Vancouver,British Columbia,2023-06-19,Bronze
C00018,Linda,Gonzalez,evanskatherine@example.net,Brampton,Ontario,2023-05-09,Bronze
C00019,Joanne,Ramos,barbara98@example.org,Ottawa,Ontario,2025-05-16,Bronze
C00020,Adam,Jackson,nbrown@example.com,Ottawa,Ontario,2025-06-14,Silver
C00021,Ryan,Lane,wmclaughlin@example.net,Mississauga,Ontario,2023-06-27,Bronze
C00022,April,Bray,garciacalvin@example.org,Calgary,Alberta,2024-08-03,Bronze
C00023,Mark,King,danielle36@example.net,Ottawa,Ontario,2022-11-09,Silver
C00024,Tiffany,Parsons,rogersfrank@example.org,Vancouver,British Columbia,2024-04-26,Bronze
C00025,Elizabeth,Morris,davidbrown@example.com,Ottawa,Ontario,2023-02-25,Bronze
C00026,Erin,Hayes,joseph73@example.com,Vancouver,British Columbia,2025-11-24,Silver
C00027,Joanna,Sandoval,careychristopher@example.org,Edmonton,Alberta,2023-05-21,Silver
C00028,Joseph,Collins,bbooth@example.com,Brampton,Ontario,2025-07-10,Bronze
C00029,Randall,Fields,kking@example.org,Edmonton,Alberta,2024-09-20,Bronze
C00030,William,Pacheco,cynthia01@example.net,Calgary,Alberta,2023-11-18,Bronze
C00031,Kim,Myers,brandon28@example.com,Brampton,Ontario,2022-12-14,Bronze
C00032,Bryan,Hurley,cassidy18@example.net,Hamilton,Ontario,2024-06-22,Bronze
